	NN1	NN2	NN3	UU1	UU2	UU3
ENSRNA022742849	0	0	0	0	0	0
ENSRNA022742845	0	0	1	0	0	0
ENSRNA022742847	0	0	0	0	0	0
ENSRNA022742842	0	0	0	0	0	0
ENSRNA022742837	0	0	0	0	0	0
ENSRNA022742840	0	0	0	0	0	0
ENSRNA022742835	0	0	0	0	0	0
ENSRNA022742830	0	0	0	0	0	0
SPU_016405	0	0	1	2	0	0
SPU_026662	10	16	16	9	7	7
SPU_001587	1	3	2	5	1	1
SPU_016765	0	0	0	0	1	7
SPU_017085	0	0	0	0	0	0
SPU_020901	0	0	0	0	0	0
SPU_005427	10	13	10	4	2	2
SPU_026504	0	0	0	0	0	0
SPU_005746	0	0	0	0	0	0
SPU_000389	0	0	1	0	0	0
SPU_021619	14	18	13	8	10	4
SPU_012317	181	203	220	86	31	34
SPU_013230	1970	2171	1980	1090	920	773
SPU_023466	513	529	633	448	281	171
SPU_018461	2	0	1	0	0	0
SPU_014898	98	64	20	54	49	20
SPU_023738	2	1	0	0	0	0
SPU_017553	46	42	61	58	58	39
SPU_002437	24	9	10	15	13	8
SPU_017547	116	125	116	83	47	38
SPU_011572	4318	4273	4168	5818	5331	5728
SPU_011573	1	2	3	11	5	2
SPU_005592	137	114	136	89	70	47
SPU_005102	56	37	65	56	36	22
SPU_005103	20	28	26	20	25	18
SPU_005100	51	34	54	31	17	12
SPU_012896	44	52	72	56	43	35
SPU_022849	0	0	0	0	0	0
SPU_012897	0	0	0	0	0	0
SPU_012898	183	196	206	197	139	95
SPU_027977	941	1004	1070	1051	930	765
SPU_027978	556	472	513	317	340	186
SPU_027979	499	515	565	461	409	383
SPU_012999	14	6	7	10	7	5
SPU_000138	374	393	386	344	310	202
SPU_000139	125	124	96	152	108	103
SPU_007956	50	50	49	53	46	41
SPU_007955	60	60	62	51	55	51
SPU_023204	58	98	76	91	61	72
SPU_023203	205	144	243	175	92	81
SPU_003988	0	2	0	0	0	0
SPU_003990	298	247	307	249	197	150
SPU_023408	176	131	174	179	141	85
SPU_007295	180	204	159	224	153	180
SPU_007294	125	111	89	64	55	40
SPU_000939	94	83	91	78	68	41
SPU_000941	17	34	22	17	20	16
SPU_000940	210	183	194	182	174	159
SPU_026181	31	26	35	22	8	10
SPU_009146	1149	1068	1292	1089	784	697
SPU_009145	2826	2678	2949	1970	1540	1140
SPU_024830	0	0	0	0	0	0
SPU_024829	211	207	189	291	207	218
SPU_009559	1251	1191	1242	1430	1175	1051
SPU_012223	304	353	322	299	221	213
SPU_000223	1	2	0	13	0	1
SPU_000222	0	2	2	1	9	2
SPU_003882	2	1	8	3	3	4
SPU_012855	272	279	336	196	184	173
SPU_005593	96	124	126	74	65	69
SPU_002379	154	133	207	133	116	88
SPU_028811	1	1	0	0	0	0
SPU_001187	16	29	23	10	15	18
SPU_015046	0	0	2	3	1	7
